engine,accounts,threads,run,tps
LEAP-base,2,4,0,30129
LEAP,2,4,0,17647
LEAP-base,2,4,1,29439
LEAP,2,4,1,18036
LEAP-base,2,4,2,28614
LEAP,2,4,2,18121
LEAP-base,2,8,0,16528
LEAP,2,8,0,12811
LEAP-base,2,8,1,16009
LEAP,2,8,1,13451
LEAP-base,2,8,2,15771
LEAP,2,8,2,13359
LEAP-base,2,16,0,13668
LEAP,2,16,0,11457
LEAP-base,2,16,1,13539
LEAP,2,16,1,11956
LEAP-base,2,16,2,13360
LEAP,2,16,2,11959
LEAP-base,2,32,0,8636
LEAP,2,32,0,6554
LEAP-base,2,32,1,7421
LEAP,2,32,1,6613
LEAP-base,2,32,2,7534
LEAP,2,32,2,6591
LEAP-base,10,4,0,35234
LEAP,10,4,0,14447
LEAP-base,10,4,1,35627
LEAP,10,4,1,15273
LEAP-base,10,4,2,32677
LEAP,10,4,2,14955
LEAP-base,10,8,0,24001
LEAP,10,8,0,12516
LEAP-base,10,8,1,26086
LEAP,10,8,1,12760
LEAP-base,10,8,2,26956
LEAP,10,8,2,12672
LEAP-base,10,16,0,23600
LEAP,10,16,0,12231
LEAP-base,10,16,1,24531
LEAP,10,16,1,12338
LEAP-base,10,16,2,24689
LEAP,10,16,2,12329
LEAP-base,10,32,0,15005
LEAP,10,32,0,8468
LEAP-base,10,32,1,14266
LEAP,10,32,1,8400
LEAP-base,10,32,2,14629
LEAP,10,32,2,8434
LEAP-base,100,4,0,38375
LEAP,100,4,0,32522
LEAP-base,100,4,1,38631
LEAP,100,4,1,31486
LEAP-base,100,4,2,41001
LEAP,100,4,2,28583
LEAP-base,100,8,0,71323
LEAP,100,8,0,39085
LEAP-base,100,8,1,62735
LEAP,100,8,1,40575
LEAP-base,100,8,2,64708
LEAP,100,8,2,40578
LEAP-base,100,16,0,98108
LEAP,100,16,0,45512
LEAP-base,100,16,1,98861
LEAP,100,16,1,44765
LEAP-base,100,16,2,99122
LEAP,100,16,2,45032
LEAP-base,100,32,0,44852
LEAP,100,32,0,30256
LEAP-base,100,32,1,64294
LEAP,100,32,1,32386
LEAP-base,100,32,2,53074
LEAP,100,32,2,32186
LEAP-base,1000,4,0,38344
LEAP,1000,4,0,36607
LEAP-base,1000,4,1,39179
LEAP,1000,4,1,36713
LEAP-base,1000,4,2,38980
LEAP,1000,4,2,36910
LEAP-base,1000,8,0,68921
LEAP,1000,8,0,48626
LEAP-base,1000,8,1,65166
LEAP,1000,8,1,50701
LEAP-base,1000,8,2,65320
LEAP,1000,8,2,49500
LEAP-base,1000,16,0,103215
LEAP,1000,16,0,68681
LEAP-base,1000,16,1,105057
LEAP,1000,16,1,69482
LEAP-base,1000,16,2,98520
LEAP,1000,16,2,68217
LEAP-base,1000,32,0,92242
LEAP,1000,32,0,55572
LEAP-base,1000,32,1,95850
LEAP,1000,32,1,59524
LEAP-base,1000,32,2,95185
LEAP,1000,32,2,57968
LEAP-base,10000,4,0,36988
LEAP,10000,4,0,37743
LEAP-base,10000,4,1,37354
LEAP,10000,4,1,36912
LEAP-base,10000,4,2,38023
LEAP,10000,4,2,36929
LEAP-base,10000,8,0,68105
LEAP,10000,8,0,59105
LEAP-base,10000,8,1,62118
LEAP,10000,8,1,57375
LEAP-base,10000,8,2,64338
LEAP,10000,8,2,61560
LEAP-base,10000,16,0,89969
LEAP,10000,16,0,85597
LEAP-base,10000,16,1,99970
LEAP,10000,16,1,90043
LEAP-base,10000,16,2,94326
LEAP,10000,16,2,86751
LEAP-base,10000,32,0,101694
LEAP,10000,32,0,81746
LEAP-base,10000,32,1,92879
LEAP,10000,32,1,87769
LEAP-base,10000,32,2,84107
LEAP,10000,32,2,84852
