experiment,system,variable,nodes,workers,rate,run,stablecoin_tps,stablecoin_latency_ms,committed_txns,executed_txns,exec_ratio,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
Exp-A,MP3+LEAP,Uniform,4,1,50000,1,41260.0,929.0,2917322.0,2500000.0,0.857,48148.0,24651662.0,622.0,47848.0,24498169.0,779.0,61.0
Exp-A,Tusk+LeapBase,Uniform,4,1,50000,1,37603.0,2019.0,2682490.0,2270000.0,0.8462,44436.0,22751042.0,1123.0,44073.0,22565378.0,1870.0,60.0
Exp-A,MP3+LEAP,Uniform,4,1,50000,2,37013.0,1015.0,2626801.0,2240000.0,0.8527,43405.0,22223138.0,713.0,43286.0,22162351.0,865.0,61.0
Exp-A,Tusk+LeapBase,Uniform,4,1,50000,2,42170.0,1270.0,2959958.0,2550000.0,0.8615,48950.0,25062404.0,814.0,48779.0,24975065.0,1119.0,60.0
Exp-A,MP3+LEAP,Uniform,4,1,50000,3,38676.0,988.0,2723524.0,2340000.0,0.8592,45015.0,23047904.0,677.0,44872.0,22974684.0,837.0,61.0
Exp-A,Tusk+LeapBase,Uniform,4,1,50000,3,34894.0,5406.0,2735248.0,2070000.0,0.7568,46108.0,23607150.0,1832.0,44797.0,22936035.0,5259.0,59.0
Exp-A,MP3+LEAP,Hotspot_30pct,4,1,50000,1,38421.0,2970.0,2954448.0,2325000.0,0.7869,48823.0,24997147.0,600.0,45042.0,23061264.0,2823.0,61.0
Exp-A,Tusk+LeapBase,Hotspot_30pct,4,1,50000,1,15351.0,17823.0,2814737.0,925000.0,0.3286,46712.0,23916646.0,833.0,20099.0,10290930.0,17683.0,60.0
Exp-A,MP3+LEAP,Hotspot_30pct,4,1,50000,2,36354.0,1167.0,2580882.0,2200000.0,0.8524,42648.0,21835739.0,718.0,42286.0,21650481.0,1018.0,61.0
Exp-A,Tusk+LeapBase,Hotspot_30pct,4,1,50000,2,17312.0,17738.0,2892546.0,1045000.0,0.3613,47920.0,24535031.0,751.0,20455.0,10472826.0,17609.0,60.0
Exp-A,MP3+LEAP,Hotspot_30pct,4,1,50000,3,38205.0,2959.0,2938464.0,2312500.0,0.787,48546.0,24855748.0,599.0,44563.0,22816460.0,2811.0,61.0
Exp-A,Tusk+LeapBase,Hotspot_30pct,4,1,50000,3,17381.0,16500.0,2622268.0,1052500.0,0.4014,43305.0,22172332.0,892.0,20555.0,10524228.0,16365.0,61.0
Exp-A,MP3+LEAP,Hotspot_50pct,4,1,50000,1,29213.0,6821.0,2732669.0,1767500.0,0.6468,45165.0,23124529.0,666.0,36299.0,18584841.0,6672.0,61.0
Exp-A,Tusk+LeapBase,Hotspot_50pct,4,1,50000,1,10199.0,22628.0,2893874.0,615000.0,0.2125,47990.0,24570719.0,757.0,12011.0,6149852.0,22521.0,60.0
Exp-A,MP3+LEAP,Hotspot_50pct,4,1,50000,2,30642.0,6289.0,2680536.0,1850000.0,0.6902,44398.0,22731833.0,675.0,35824.0,18341738.0,6136.0,60.0
Exp-A,Tusk+LeapBase,Hotspot_50pct,4,1,50000,2,10101.0,22584.0,2885081.0,610000.0,0.2114,47773.0,24459555.0,760.0,11832.0,6057889.0,22469.0,60.0
Exp-A,MP3+LEAP,Hotspot_50pct,4,1,50000,3,31695.0,4579.0,2754788.0,1917500.0,0.6961,45534.0,23313633.0,644.0,38237.0,19577589.0,4431.0,60.0
Exp-A,Tusk+LeapBase,Hotspot_50pct,4,1,50000,3,10238.0,22596.0,2598820.0,617500.0,0.2376,43089.0,22061510.0,877.0,12010.0,6148933.0,22480.0,60.0
Exp-A,MP3+LEAP,Hotspot_70pct,4,1,50000,1,22316.0,13278.0,2769443.0,1350000.0,0.4875,45779.0,23438819.0,628.0,28285.0,14482089.0,13120.0,60.0
Exp-A,Tusk+LeapBase,Hotspot_70pct,4,1,50000,1,6618.0,25579.0,2948279.0,397500.0,0.1348,49087.0,25132677.0,844.0,9007.0,4611775.0,25471.0,60.0
Exp-A,MP3+LEAP,Hotspot_70pct,4,1,50000,2,24363.0,11790.0,2761002.0,1472500.0,0.5333,45682.0,23389031.0,631.0,28250.0,14464009.0,11634.0,60.0
Exp-A,Tusk+LeapBase,Hotspot_70pct,4,1,50000,2,7287.0,25088.0,2754788.0,440000.0,0.1597,45624.0,23359580.0,949.0,8521.0,4362661.0,24958.0,60.0
Exp-A,MP3+LEAP,Hotspot_70pct,4,1,50000,3,23689.0,12432.0,2836504.0,1432500.0,0.505,46906.0,24015909.0,626.0,28759.0,14724533.0,12278.0,60.0
