engine,scenario,accounts,overhead_us,threads,run,tps
Serial,Uniform,1000,0,1,0,298694704
Serial,Uniform,1000,0,1,1,297097359
Serial,Uniform,1000,0,1,2,298071478
Serial,Uniform,1000,0,1,3,300941948
Serial,Uniform,1000,0,1,4,300851409
Serial,Uniform,1000,0,1,5,284584080
Serial,Uniform,1000,0,1,6,301123189
LEAP-base,Uniform,1000,0,1,0,649009
LEAP-base,Uniform,1000,0,1,1,645881
LEAP-base,Uniform,1000,0,1,2,617669
LEAP-base,Uniform,1000,0,1,3,561124
LEAP-base,Uniform,1000,0,1,4,521455
LEAP-base,Uniform,1000,0,1,5,485362
LEAP-base,Uniform,1000,0,1,6,528946
LEAP-base,Uniform,1000,0,2,0,406517
LEAP-base,Uniform,1000,0,2,1,378175
LEAP-base,Uniform,1000,0,2,2,345913
LEAP-base,Uniform,1000,0,2,3,355782
LEAP-base,Uniform,1000,0,2,4,355215
LEAP-base,Uniform,1000,0,2,5,345255
LEAP-base,Uniform,1000,0,2,6,307718
LEAP-base,Uniform,1000,0,4,0,366526
LEAP-base,Uniform,1000,0,4,1,373536
LEAP-base,Uniform,1000,0,4,2,390406
LEAP-base,Uniform,1000,0,4,3,414244
LEAP-base,Uniform,1000,0,4,4,360108
LEAP-base,Uniform,1000,0,4,5,316557
LEAP-base,Uniform,1000,0,4,6,348790
LEAP-base,Uniform,1000,0,8,0,556541
LEAP-base,Uniform,1000,0,8,1,529737
LEAP-base,Uniform,1000,0,8,2,475697
LEAP-base,Uniform,1000,0,8,3,515800
LEAP-base,Uniform,1000,0,8,4,582593
LEAP-base,Uniform,1000,0,8,5,551648
LEAP-base,Uniform,1000,0,8,6,548667
LEAP-base,Uniform,1000,0,16,0,737110
LEAP-base,Uniform,1000,0,16,1,450671
LEAP-base,Uniform,1000,0,16,2,494848
LEAP-base,Uniform,1000,0,16,3,331697
LEAP-base,Uniform,1000,0,16,4,365908
LEAP-base,Uniform,1000,0,16,5,839343
LEAP-base,Uniform,1000,0,16,6,573600
LEAP,Uniform,1000,0,1,0,294200
LEAP,Uniform,1000,0,1,1,302334
LEAP,Uniform,1000,0,1,2,300281
LEAP,Uniform,1000,0,1,3,300501
LEAP,Uniform,1000,0,1,4,293512
LEAP,Uniform,1000,0,1,5,284399
LEAP,Uniform,1000,0,1,6,290410
LEAP,Uniform,1000,0,2,0,314980
LEAP,Uniform,1000,0,2,1,301732
LEAP,Uniform,1000,0,2,2,301940
LEAP,Uniform,1000,0,2,3,295780
LEAP,Uniform,1000,0,2,4,318315
LEAP,Uniform,1000,0,2,5,303432
LEAP,Uniform,1000,0,2,6,311033
LEAP,Uniform,1000,0,4,0,324023
LEAP,Uniform,1000,0,4,1,368055
LEAP,Uniform,1000,0,4,2,370294
LEAP,Uniform,1000,0,4,3,338260
LEAP,Uniform,1000,0,4,4,349334
LEAP,Uniform,1000,0,4,5,316598
LEAP,Uniform,1000,0,4,6,334303
LEAP,Uniform,1000,0,8,0,512958
LEAP,Uniform,1000,0,8,1,528048
LEAP,Uniform,1000,0,8,2,599798
LEAP,Uniform,1000,0,8,3,579921
LEAP,Uniform,1000,0,8,4,594080
LEAP,Uniform,1000,0,8,5,480919
LEAP,Uniform,1000,0,8,6,573686
LEAP,Uniform,1000,0,16,0,811099
LEAP,Uniform,1000,0,16,1,683778
LEAP,Uniform,1000,0,16,2,400488
LEAP,Uniform,1000,0,16,3,792610
LEAP,Uniform,1000,0,16,4,321651
LEAP,Uniform,1000,0,16,5,501485
LEAP,Uniform,1000,0,16,6,445962
Serial,Hotspot_90pct,1000,0,1,0,297450846
Serial,Hotspot_90pct,1000,0,1,1,299679343
Serial,Hotspot_90pct,1000,0,1,2,295779230
Serial,Hotspot_90pct,1000,0,1,3,274122807
Serial,Hotspot_90pct,1000,0,1,4,299132516
Serial,Hotspot_90pct,1000,0,1,5,299052005
Serial,Hotspot_90pct,1000,0,1,6,298873248
LEAP-base,Hotspot_90pct,1000,0,1,0,290458
LEAP-base,Hotspot_90pct,1000,0,1,1,290277
LEAP-base,Hotspot_90pct,1000,0,1,2,288225
LEAP-base,Hotspot_90pct,1000,0,1,3,301964
LEAP-base,Hotspot_90pct,1000,0,1,4,300880
LEAP-base,Hotspot_90pct,1000,0,1,5,315000
LEAP-base,Hotspot_90pct,1000,0,1,6,298465
LEAP-base,Hotspot_90pct,1000,0,2,0,282770
LEAP-base,Hotspot_90pct,1000,0,2,1,277745
LEAP-base,Hotspot_90pct,1000,0,2,2,284770
LEAP-base,Hotspot_90pct,1000,0,2,3,286930
LEAP-base,Hotspot_90pct,1000,0,2,4,288677
LEAP-base,Hotspot_90pct,1000,0,2,5,288240
LEAP-base,Hotspot_90pct,1000,0,2,6,273853
LEAP-base,Hotspot_90pct,1000,0,4,0,378530
LEAP-base,Hotspot_90pct,1000,0,4,1,382105
LEAP-base,Hotspot_90pct,1000,0,4,2,327274
LEAP-base,Hotspot_90pct,1000,0,4,3,357492
LEAP-base,Hotspot_90pct,1000,0,4,4,380338
LEAP-base,Hotspot_90pct,1000,0,4,5,365015
LEAP-base,Hotspot_90pct,1000,0,4,6,371168
LEAP-base,Hotspot_90pct,1000,0,8,0,524206
LEAP-base,Hotspot_90pct,1000,0,8,1,552141
LEAP-base,Hotspot_90pct,1000,0,8,2,551215
LEAP-base,Hotspot_90pct,1000,0,8,3,527715
LEAP-base,Hotspot_90pct,1000,0,8,4,521240
LEAP-base,Hotspot_90pct,1000,0,8,5,534767
LEAP-base,Hotspot_90pct,1000,0,8,6,595046
LEAP-base,Hotspot_90pct,1000,0,16,0,672613
LEAP-base,Hotspot_90pct,1000,0,16,1,693845
LEAP-base,Hotspot_90pct,1000,0,16,2,453039
LEAP-base,Hotspot_90pct,1000,0,16,3,363445
LEAP-base,Hotspot_90pct,1000,0,16,4,434465
LEAP-base,Hotspot_90pct,1000,0,16,5,796365
LEAP-base,Hotspot_90pct,1000,0,16,6,664122
LEAP,Hotspot_90pct,1000,0,1,0,296101
LEAP,Hotspot_90pct,1000,0,1,1,292135
LEAP,Hotspot_90pct,1000,0,1,2,287506
LEAP,Hotspot_90pct,1000,0,1,3,292628
LEAP,Hotspot_90pct,1000,0,1,4,299351
LEAP,Hotspot_90pct,1000,0,1,5,301588
LEAP,Hotspot_90pct,1000,0,1,6,297015
LEAP,Hotspot_90pct,1000,0,2,0,309217
LEAP,Hotspot_90pct,1000,0,2,1,306687
LEAP,Hotspot_90pct,1000,0,2,2,338186
LEAP,Hotspot_90pct,1000,0,2,3,359523
LEAP,Hotspot_90pct,1000,0,2,4,363710
LEAP,Hotspot_90pct,1000,0,2,5,344062
LEAP,Hotspot_90pct,1000,0,2,6,314786
LEAP,Hotspot_90pct,1000,0,4,0,415355
LEAP,Hotspot_90pct,1000,0,4,1,358999
LEAP,Hotspot_90pct,1000,0,4,2,423804
LEAP,Hotspot_90pct,1000,0,4,3,347376
LEAP,Hotspot_90pct,1000,0,4,4,396455
LEAP,Hotspot_90pct,1000,0,4,5,401006
LEAP,Hotspot_90pct,1000,0,4,6,411994
LEAP,Hotspot_90pct,1000,0,8,0,525051
LEAP,Hotspot_90pct,1000,0,8,1,590950
LEAP,Hotspot_90pct,1000,0,8,2,529182
LEAP,Hotspot_90pct,1000,0,8,3,518665
LEAP,Hotspot_90pct,1000,0,8,4,531068
LEAP,Hotspot_90pct,1000,0,8,5,559502
LEAP,Hotspot_90pct,1000,0,8,6,582251
LEAP,Hotspot_90pct,1000,0,16,0,485551
LEAP,Hotspot_90pct,1000,0,16,1,775440
LEAP,Hotspot_90pct,1000,0,16,2,816115
LEAP,Hotspot_90pct,1000,0,16,3,819705
LEAP,Hotspot_90pct,1000,0,16,4,694605
LEAP,Hotspot_90pct,1000,0,16,5,696799
LEAP,Hotspot_90pct,1000,0,16,6,732646
Serial,Uniform,1000,1,1,0,1163850
Serial,Uniform,1000,1,1,1,1159140
Serial,Uniform,1000,1,1,2,1158432
Serial,Uniform,1000,1,1,3,1158505
Serial,Uniform,1000,1,1,4,1161085
Serial,Uniform,1000,1,1,5,1163476
Serial,Uniform,1000,1,1,6,1161557
