engine,scenario,accounts,overhead_us,threads,run,tps
Serial,Uniform,1000,0,1,0,6059224
Serial,Uniform,1000,0,1,1,7475604
Serial,Uniform,1000,0,1,2,7494653
Serial,Uniform,1000,0,1,3,7543578
Serial,Uniform,1000,0,1,4,7498485
Serial,Uniform,1000,0,1,5,6729310
Serial,Uniform,1000,0,1,6,7537633
LEAP-base,Uniform,1000,0,4,0,360035
LEAP-base,Uniform,1000,0,4,1,366844
LEAP-base,Uniform,1000,0,4,2,370007
LEAP-base,Uniform,1000,0,4,3,389781
LEAP-base,Uniform,1000,0,4,4,342239
LEAP-base,Uniform,1000,0,4,5,335304
LEAP-base,Uniform,1000,0,4,6,363675
Serial,Uniform,1000,1,1,0,991652
Serial,Uniform,1000,1,1,1,994431
Serial,Uniform,1000,1,1,2,1006732
Serial,Uniform,1000,1,1,3,1013444
Serial,Uniform,1000,1,1,4,1001914
Serial,Uniform,1000,1,1,5,1011091
Serial,Uniform,1000,1,1,6,1013496
LEAP-base,Uniform,1000,1,4,0,377947
LEAP-base,Uniform,1000,1,4,1,376819
LEAP-base,Uniform,1000,1,4,2,356394
LEAP-base,Uniform,1000,1,4,3,415928
LEAP-base,Uniform,1000,1,4,4,330464
LEAP-base,Uniform,1000,1,4,5,356396
LEAP-base,Uniform,1000,1,4,6,352810
Serial,Uniform,1000,3,1,0,369204
Serial,Uniform,1000,3,1,1,369644
Serial,Uniform,1000,3,1,2,369583
Serial,Uniform,1000,3,1,3,369963
Serial,Uniform,1000,3,1,4,369905
Serial,Uniform,1000,3,1,5,369359
Serial,Uniform,1000,3,1,6,369879
LEAP-base,Uniform,1000,3,4,0,352662
LEAP-base,Uniform,1000,3,4,1,336525
LEAP-base,Uniform,1000,3,4,2,352679
LEAP-base,Uniform,1000,3,4,3,326193
LEAP-base,Uniform,1000,3,4,4,354941
LEAP-base,Uniform,1000,3,4,5,338263
LEAP-base,Uniform,1000,3,4,6,323366
Serial,Uniform,1000,10,1,0,114751
Serial,Uniform,1000,10,1,1,114739
Serial,Uniform,1000,10,1,2,114754
Serial,Uniform,1000,10,1,3,114760
Serial,Uniform,1000,10,1,4,114786
Serial,Uniform,1000,10,1,5,114738
Serial,Uniform,1000,10,1,6,114735
LEAP-base,Uniform,1000,10,4,0,252073
LEAP-base,Uniform,1000,10,4,1,241006
LEAP-base,Uniform,1000,10,4,2,234879
LEAP-base,Uniform,1000,10,4,3,242177
LEAP-base,Uniform,1000,10,4,4,252733
LEAP-base,Uniform,1000,10,4,5,226845
LEAP-base,Uniform,1000,10,4,6,245113
Serial,Uniform,1000,50,1,0,23179
Serial,Uniform,1000,50,1,1,23237
Serial,Uniform,1000,50,1,2,23241
Serial,Uniform,1000,50,1,3,23243
Serial,Uniform,1000,50,1,4,23247
Serial,Uniform,1000,50,1,5,23247
Serial,Uniform,1000,50,1,6,23249
LEAP-base,Uniform,1000,50,4,0,80518
LEAP-base,Uniform,1000,50,4,1,80816
LEAP-base,Uniform,1000,50,4,2,81219
LEAP-base,Uniform,1000,50,4,3,81407
LEAP-base,Uniform,1000,50,4,4,81070
LEAP-base,Uniform,1000,50,4,5,80819
LEAP-base,Uniform,1000,50,4,6,78901
Serial,Uniform,1000,100,1,0,11602
Serial,Uniform,1000,100,1,1,11611
Serial,Uniform,1000,100,1,2,11615
Serial,Uniform,1000,100,1,3,11578
Serial,Uniform,1000,100,1,4,11608
Serial,Uniform,1000,100,1,5,11608
Serial,Uniform,1000,100,1,6,11611
LEAP-base,Uniform,1000,100,4,0,43310
LEAP-base,Uniform,1000,100,4,1,43043
LEAP-base,Uniform,1000,100,4,2,42964
LEAP-base,Uniform,1000,100,4,3,42461
LEAP-base,Uniform,1000,100,4,4,42917
LEAP-base,Uniform,1000,100,4,5,42625
LEAP-base,Uniform,1000,100,4,6,43223
Serial,Uniform,1000,10,1,0,113919
Serial,Uniform,1000,10,1,1,114427
Serial,Uniform,1000,10,1,2,114290
Serial,Uniform,1000,10,1,3,114165
Serial,Uniform,1000,10,1,4,114141
Serial,Uniform,1000,10,1,5,114396
Serial,Uniform,1000,10,1,6,114280
LEAP-base,Uniform,1000,10,1,0,74017
LEAP-base,Uniform,1000,10,1,1,73832
LEAP-base,Uniform,1000,10,1,2,73871
LEAP-base,Uniform,1000,10,1,3,73878
LEAP-base,Uniform,1000,10,1,4,74029
LEAP-base,Uniform,1000,10,1,5,73740
LEAP-base,Uniform,1000,10,1,6,74120
LEAP-base,Uniform,1000,10,2,0,137814
LEAP-base,Uniform,1000,10,2,1,135331
LEAP-base,Uniform,1000,10,2,2,136797
LEAP-base,Uniform,1000,10,2,3,135680
LEAP-base,Uniform,1000,10,2,4,133938
LEAP-base,Uniform,1000,10,2,5,134798
LEAP-base,Uniform,1000,10,2,6,135416
LEAP-base,Uniform,1000,10,4,0,249856
LEAP-base,Uniform,1000,10,4,1,226976
LEAP-base,Uniform,1000,10,4,2,245515
LEAP-base,Uniform,1000,10,4,3,241358
LEAP-base,Uniform,1000,10,4,4,244074
LEAP-base,Uniform,1000,10,4,5,241623
LEAP-base,Uniform,1000,10,4,6,248403
LEAP-base,Uniform,1000,10,8,0,365612
LEAP-base,Uniform,1000,10,8,1,363708
LEAP-base,Uniform,1000,10,8,2,387049
LEAP-base,Uniform,1000,10,8,3,372156
LEAP-base,Uniform,1000,10,8,4,367868
LEAP-base,Uniform,1000,10,8,5,380189
LEAP-base,Uniform,1000,10,8,6,369496
LEAP-base,Uniform,1000,10,16,0,331722
LEAP-base,Uniform,1000,10,16,1,315046
LEAP-base,Uniform,1000,10,16,2,284657
LEAP-base,Uniform,1000,10,16,3,478409
LEAP-base,Uniform,1000,10,16,4,317171
LEAP-base,Uniform,1000,10,16,5,289394
LEAP-base,Uniform,1000,10,16,6,391791
LEAP,Uniform,1000,10,1,0,76462
LEAP,Uniform,1000,10,1,1,77520
LEAP,Uniform,1000,10,1,2,76282
LEAP,Uniform,1000,10,1,3,77029
LEAP,Uniform,1000,10,1,4,76303
LEAP,Uniform,1000,10,1,5,77314
LEAP,Uniform,1000,10,1,6,76183
LEAP,Uniform,1000,10,2,0,139621
LEAP,Uniform,1000,10,2,1,137663
LEAP,Uniform,1000,10,2,2,137752
LEAP,Uniform,1000,10,2,3,140111
LEAP,Uniform,1000,10,2,4,137382
LEAP,Uniform,1000,10,2,5,139463
LEAP,Uniform,1000,10,2,6,141150
LEAP,Uniform,1000,10,4,0,232674
LEAP,Uniform,1000,10,4,1,218070
LEAP,Uniform,1000,10,4,2,241147
LEAP,Uniform,1000,10,4,3,219372
LEAP,Uniform,1000,10,4,4,235833
LEAP,Uniform,1000,10,4,5,223394
LEAP,Uniform,1000,10,4,6,228561
LEAP,Uniform,1000,10,8,0,328425
LEAP,Uniform,1000,10,8,1,343466
LEAP,Uniform,1000,10,8,2,330052
LEAP,Uniform,1000,10,8,3,344551
LEAP,Uniform,1000,10,8,4,323805
LEAP,Uniform,1000,10,8,5,345850
LEAP,Uniform,1000,10,8,6,324660
LEAP,Uniform,1000,10,16,0,338561
LEAP,Uniform,1000,10,16,1,340252
LEAP,Uniform,1000,10,16,2,310091
LEAP,Uniform,1000,10,16,3,272551
LEAP,Uniform,1000,10,16,4,341978
LEAP,Uniform,1000,10,16,5,301184
LEAP,Uniform,1000,10,16,6,300123
Serial,Hotspot_90pct,1000,10,1,0,113984
Serial,Hotspot_90pct,1000,10,1,1,114182
Serial,Hotspot_90pct,1000,10,1,2,114347
Serial,Hotspot_90pct,1000,10,1,3,114237
Serial,Hotspot_90pct,1000,10,1,4,114254
Serial,Hotspot_90pct,1000,10,1,5,114684
Serial,Hotspot_90pct,1000,10,1,6,114038
LEAP-base,Hotspot_90pct,1000,10,1,0,73896
LEAP-base,Hotspot_90pct,1000,10,1,1,74131
LEAP-base,Hotspot_90pct,1000,10,1,2,75115
LEAP-base,Hotspot_90pct,1000,10,1,3,73990
LEAP-base,Hotspot_90pct,1000,10,1,4,74666
LEAP-base,Hotspot_90pct,1000,10,1,5,74849
LEAP-base,Hotspot_90pct,1000,10,1,6,75006
LEAP-base,Hotspot_90pct,1000,10,2,0,124952
LEAP-base,Hotspot_90pct,1000,10,2,1,130179
LEAP-base,Hotspot_90pct,1000,10,2,2,127032
LEAP-base,Hotspot_90pct,1000,10,2,3,126348
LEAP-base,Hotspot_90pct,1000,10,2,4,124538
