protocol,k,faults,nodes,workers,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,duration_s
Tusk,0,0,4,1,10000,1,8162.0,4178831.0,781.0,8111.0,4152814.0,1006.0,60.0
Tusk,0,0,4,1,10000,2,8657.0,4432366.0,1022.0,8602.0,4404363.0,1245.0,59.0
Tusk,0,0,4,1,10000,3,8261.0,4229461.0,1093.0,8209.0,4202986.0,1318.0,60.0
Tusk,0,0,4,1,50000,1,44003.0,22529358.0,987.0,43873.0,22462968.0,1131.0,60.0
Tusk,0,0,4,1,50000,2,41414.0,21204116.0,888.0,41295.0,21143066.0,1030.0,60.0
Tusk,0,0,4,1,50000,3,40271.0,20618627.0,1035.0,40155.0,20559328.0,1178.0,60.0
Tusk,0,0,4,1,100000,1,84065.0,43041372.0,890.0,83819.0,42915314.0,1018.0,59.0
Tusk,0,0,4,1,100000,2,92530.0,47375396.0,860.0,92257.0,47235695.0,989.0,60.0
Tusk,0,0,4,1,100000,3,84905.0,43471119.0,903.0,84660.0,43346112.0,1034.0,60.0
Tusk,0,1,4,1,10000,1,7437.0,3807673.0,837.0,7389.0,3783307.0,1062.0,60.0
Tusk,0,1,4,1,10000,2,7434.0,3806011.0,1032.0,7386.0,3781499.0,1242.0,59.0
Tusk,0,1,4,1,10000,3,7434.0,3806017.0,1035.0,7385.0,3781116.0,1251.0,59.0
Tusk,0,1,4,1,50000,1,37139.0,19015130.0,1034.0,37024.0,18956443.0,1177.0,59.0
Tusk,0,1,4,1,50000,2,37139.0,19014976.0,1037.0,37026.0,18957073.0,1180.0,60.0
Tusk,0,1,4,1,50000,3,37151.0,19021266.0,833.0,37040.0,18964251.0,976.0,60.0
Tusk,0,1,4,1,100000,1,74311.0,38047110.0,1041.0,74087.0,37932396.0,1167.0,59.0
Tusk,0,1,4,1,100000,2,74299.0,38040997.0,835.0,74078.0,37927712.0,961.0,60.0
Tusk,0,1,4,1,100000,3,74301.0,38042274.0,827.0,74076.0,37927077.0,952.0,60.0
MP3-BFT++_k4,4,0,4,1,10000,1,8626.0,4416702.0,544.0,8573.0,4389137.0,765.0,60.0
MP3-BFT++_k4,4,0,4,1,10000,2,8767.0,4488603.0,647.0,8712.0,4460647.0,870.0,60.0
MP3-BFT++_k4,4,0,4,1,10000,3,8921.0,4567363.0,631.0,8866.0,4539222.0,855.0,60.0
MP3-BFT++_k4,4,0,4,1,50000,1,43007.0,22019542.0,551.0,42884.0,21956652.0,695.0,60.0
MP3-BFT++_k4,4,0,4,1,50000,2,44977.0,23028322.0,613.0,44846.0,22961129.0,758.0,60.0
MP3-BFT++_k4,4,0,4,1,50000,3,43931.0,22492614.0,675.0,43807.0,22429135.0,818.0,60.0
MP3-BFT++_k4,4,0,4,1,100000,1,88011.0,45061670.0,598.0,87765.0,44935575.0,730.0,60.0
MP3-BFT++_k4,4,0,4,1,100000,2,88738.0,45433781.0,589.0,88484.0,45304031.0,720.0,60.0
MP3-BFT++_k4,4,0,4,1,100000,3,85462.0,43756420.0,560.0,85214.0,43629425.0,690.0,60.0
MP3-BFT++_k4,4,1,4,1,10000,1,7452.0,3815616.0,605.0,7405.0,3791160.0,829.0,60.0
MP3-BFT++_k4,4,1,4,1,10000,2,7452.0,3815482.0,604.0,7404.0,3791086.0,827.0,60.0
MP3-BFT++_k4,4,1,4,1,10000,3,7452.0,3815666.0,596.0,7404.0,3790951.0,819.0,60.0
MP3-BFT++_k4,4,1,4,1,50000,1,37227.0,19060378.0,605.0,37117.0,19003771.0,748.0,60.0
MP3-BFT++_k4,4,1,4,1,50000,2,37237.0,19065482.0,604.0,37125.0,19007894.0,748.0,60.0
MP3-BFT++_k4,4,1,4,1,50000,3,37234.0,19063568.0,604.0,37120.0,19005674.0,746.0,60.0
MP3-BFT++_k4,4,1,4,1,100000,1,74469.0,38128259.0,601.0,74245.0,38013684.0,726.0,60.0
MP3-BFT++_k4,4,1,4,1,100000,2,74457.0,38122186.0,602.0,74235.0,38008381.0,727.0,60.0
MP3-BFT++_k4,4,1,4,1,100000,3,74449.0,38117645.0,605.0,74223.0,38001940.0,731.0,60.0
