protocol,k,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,duration_s
Tusk,0,100000,1,80909.0,41425391.0,881.0,80669.0,41302515.0,1013.0,60.0
Tusk,0,100000,2,80615.0,41274878.0,877.0,80380.0,41154758.0,1009.0,60.0
Tusk,0,150000,1,124459.0,63723123.0,837.0,124099.0,63538826.0,954.0,60.0
Tusk,0,150000,2,135528.0,69390395.0,863.0,135134.0,69188800.0,981.0,60.0
Tusk,0,200000,1,174971.0,89585235.0,856.0,174455.0,89320773.0,976.0,60.0
Tusk,0,200000,2,171113.0,87609664.0,849.0,170616.0,87355524.0,970.0,60.0
Tusk,0,300000,1,255249.0,130687504.0,962.0,254518.0,130313066.0,1115.0,60.0
Tusk,0,300000,2,259757.0,132995336.0,976.0,258735.0,132472253.0,1209.0,45.0
Tusk,0,500000,1,317192.0,162402077.0,914.0,314866.0,161211150.0,1239.0,23.0
Tusk,0,500000,2,361180.0,184924202.0,813.0,356297.0,182423858.0,1082.0,13.0
Tusk,0,750000,1,304591.0,155950752.0,785.0,301986.0,154616846.0,1092.0,20.0
Tusk,0,750000,2,297051.0,152090143.0,1063.0,294801.0,150938149.0,1395.0,23.0
Tusk,0,1000000,1,404889.0,207303231.0,841.0,388804.0,199067566.0,1104.0,4.0
Tusk,0,1000000,2,308638.0,158022620.0,1050.0,305973.0,156657922.0,1359.0,20.0
MP3-BFT++_k4,4,100000,1,86402.0,44237895.0,662.0,86144.0,44105736.0,792.0,60.0
MP3-BFT++_k4,4,100000,2,84973.0,43506098.0,597.0,84731.0,43382140.0,726.0,60.0
MP3-BFT++_k4,4,150000,1,129116.0,66107608.0,618.0,128744.0,65916721.0,737.0,60.0
MP3-BFT++_k4,4,150000,2,132328.0,67752070.0,654.0,131951.0,67559108.0,771.0,60.0
MP3-BFT++_k4,4,200000,1,173331.0,88745317.0,579.0,172828.0,88487874.0,700.0,60.0
MP3-BFT++_k4,4,200000,2,165442.0,84706178.0,580.0,164969.0,84464193.0,700.0,60.0
MP3-BFT++_k4,4,300000,1,254922.0,130519996.0,583.0,253789.0,129940143.0,730.0,39.0
MP3-BFT++_k4,4,300000,2,211693.0,108387004.0,654.0,210829.0,107944271.0,828.0,42.0
MP3-BFT++_k4,4,500000,1,309899.0,158668143.0,570.0,307664.0,157523789.0,849.0,24.0
MP3-BFT++_k4,4,500000,2,277197.0,141924746.0,596.0,275223.0,140914151.0,875.0,24.0
MP3-BFT++_k4,4,750000,1,229989.0,117754324.0,787.0,228445.0,116964027.0,1103.0,27.0
MP3-BFT++_k4,4,750000,2,231154.0,118350990.0,635.0,229581.0,117545430.0,944.0,25.0
MP3-BFT++_k4,4,1000000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MP3-BFT++_k4,4,1000000,2,289516.0,148232265.0,596.0,287577.0,147239370.0,936.0,26.0
