experiment,system,variable,nodes,workers,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
E2E-1,MP3+LEAP,10000,4,1,10000,1,9011.0,4613764.0,595.0,8898.0,4556009.0,827.0,9003.0,4609401.0,609.0,30.0
E2E-1,MP3+LEAP,10000,4,1,10000,2,8044.0,4118714.0,642.0,7944.0,4067278.0,874.0,8039.0,4115791.0,656.0,30.0
E2E-1,MP3+LEAP,30000,4,1,30000,1,24908.0,12752964.0,620.0,24765.0,12679651.0,786.0,24881.0,12739180.0,641.0,30.0
E2E-1,MP3+LEAP,30000,4,1,30000,2,25850.0,13234950.0,593.0,25703.0,13159834.0,759.0,25817.0,13218528.0,617.0,30.0
E2E-1,MP3+LEAP,50000,4,1,50000,1,43606.0,22326143.0,586.0,43354.0,22197051.0,730.0,43523.0,22283949.0,624.0,30.0
E2E-1,MP3+LEAP,50000,4,1,50000,2,41598.0,21297987.0,612.0,41357.0,21175013.0,754.0,41522.0,21259225.0,651.0,30.0
E2E-1,MP3+LEAP,70000,4,1,70000,1,61019.0,31241811.0,644.0,60667.0,31061253.0,774.0,60750.0,31104103.0,702.0,30.0
E2E-1,MP3+LEAP,70000,4,1,70000,2,55843.0,28591415.0,634.0,55521.0,28426555.0,763.0,55227.0,28276458.0,691.0,30.0
E2E-1,MP3+LEAP,100000,4,1,100000,1,93360.0,47800156.0,526.0,92825.0,47526225.0,642.0,92887.0,47558102.0,611.0,30.0
E2E-1,MP3+LEAP,100000,4,1,100000,2,85323.0,43685166.0,659.0,84828.0,43431714.0,777.0,84905.0,43471305.0,752.0,30.0
E2E-1,Tusk+LeapBase,10000,4,1,10000,1,8539.0,4371974.0,916.0,8431.0,4316722.0,1153.0,8532.0,4368256.0,938.0,30.0
E2E-1,Tusk+LeapBase,10000,4,1,10000,2,8996.0,4606044.0,776.0,8884.0,4548676.0,1011.0,8989.0,4602620.0,796.0,30.0
E2E-1,Tusk+LeapBase,30000,4,1,30000,1,26156.0,13391662.0,809.0,26001.0,13312715.0,974.0,26116.0,13371494.0,841.0,29.0
E2E-1,Tusk+LeapBase,30000,4,1,30000,2,24089.0,12333784.0,866.0,23950.0,12262521.0,1033.0,24064.0,12320540.0,897.0,30.0
E2E-1,Tusk+LeapBase,50000,4,1,50000,1,42414.0,21716010.0,809.0,42168.0,21589880.0,952.0,42087.0,21548369.0,865.0,30.0
E2E-1,Tusk+LeapBase,50000,4,1,50000,2,42342.0,21679023.0,801.0,42096.0,21552973.0,944.0,42253.0,21633680.0,853.0,30.0
E2E-1,Tusk+LeapBase,70000,4,1,70000,1,62246.0,31869800.0,753.0,61883.0,31684315.0,881.0,61806.0,31644465.0,828.0,29.0
E2E-1,Tusk+LeapBase,70000,4,1,70000,2,67653.0,34638557.0,634.0,67258.0,34436258.0,763.0,67306.0,34460548.0,703.0,30.0
E2E-1,Tusk+LeapBase,100000,4,1,100000,1,90825.0,46502292.0,697.0,90295.0,46230921.0,817.0,90273.0,46219944.0,811.0,29.0
E2E-1,Tusk+LeapBase,100000,4,1,100000,2,85372.0,43710362.0,843.0,84878.0,43457785.0,962.0,84462.0,43244761.0,983.0,30.0
E2E-1,Tusk+Serial,10000,4,1,10000,1,8592.0,4399125.0,897.0,8485.0,4344332.0,1127.0,8321.0,4260401.0,956.0,30.0
E2E-1,Tusk+Serial,10000,4,1,10000,2,8647.0,4427012.0,775.0,8538.0,4371488.0,1009.0,8629.0,4417836.0,814.0,30.0
E2E-1,Tusk+Serial,30000,4,1,30000,1,24223.0,12402248.0,935.0,24084.0,12330994.0,1102.0,24049.0,12313103.0,1008.0,30.0
E2E-1,Tusk+Serial,30000,4,1,30000,2,25321.0,12964291.0,934.0,25174.0,12889228.0,1101.0,25232.0,12918535.0,1010.0,30.0
E2E-1,Tusk+Serial,50000,4,1,50000,1,43512.0,22278222.0,974.0,43257.0,22147816.0,1121.0,43213.0,22125227.0,1196.0,29.0
E2E-1,Tusk+Serial,50000,4,1,50000,2,43535.0,22290054.0,809.0,43285.0,22161929.0,952.0,43281.0,22159695.0,949.0,30.0
E2E-1,Tusk+Serial,70000,4,1,70000,1,57130.0,29250776.0,913.0,56792.0,29077677.0,1040.0,56381.0,28866827.0,1111.0,30.0
E2E-1,Tusk+Serial,70000,4,1,70000,2,54829.0,28072221.0,949.0,54498.0,27902909.0,1077.0,54123.0,27711225.0,1143.0,29.0
E2E-1,Tusk+Serial,100000,4,1,100000,1,84139.0,43079153.0,877.0,83648.0,42827971.0,995.0,82361.0,42168974.0,1166.0,30.0
E2E-1,Tusk+Serial,100000,4,1,100000,2,91652.0,46925895.0,1039.0,91135.0,46661317.0,1158.0,89107.0,45622709.0,2538.0,30.0
E2E-2,MP3+LEAP,Uniform,4,1,50000,1,40762.0,20870150.0,621.0,40524.0,20748090.0,765.0,40675.0,20825790.0,657.0,30.0
E2E-2,MP3+LEAP,Uniform,4,1,50000,2,43486.0,22265014.0,567.0,43235.0,22136465.0,711.0,43320.0,22179648.0,603.0,30.0
E2E-2,MP3+LEAP,Zipf_0.8,4,1,50000,1,40954.0,20968585.0,588.0,40719.0,20848262.0,731.0,40855.0,20917754.0,627.0,30.0
E2E-2,MP3+LEAP,Zipf_0.8,4,1,50000,2,41384.0,21188624.0,640.0,41136.0,21061886.0,783.0,41264.0,21127201.0,682.0,30.0
E2E-2,MP3+LEAP,Zipf_1.2,4,1,50000,1,40728.0,20852532.0,657.0,40493.0,20732670.0,799.0,40633.0,20804000.0,697.0,30.0
E2E-2,MP3+LEAP,Zipf_1.2,4,1,50000,2,44181.0,22620647.0,599.0,43930.0,22492177.0,743.0,44087.0,22572585.0,643.0,30.0
E2E-2,MP3+LEAP,Hotspot_50pct,4,1,50000,1,45921.0,23511719.0,541.0,45659.0,23377604.0,686.0,45582.0,23337975.0,577.0,30.0
E2E-2,MP3+LEAP,Hotspot_50pct,4,1,50000,2,41524.0,21260402.0,593.0,41282.0,21136225.0,737.0,41349.0,21170931.0,631.0,30.0
E2E-2,Tusk+LeapBase,Uniform,4,1,50000,1,40993.0,20988420.0,929.0,40755.0,20866468.0,1073.0,40832.0,20905788.0,984.0,30.0
E2E-2,Tusk+LeapBase,Uniform,4,1,50000,2,43116.0,22075169.0,753.0,42868.0,21948347.0,897.0,42902.0,21966058.0,796.0,30.0
