experiment,system,variable,tps,committed_txns,consensus_us,ordering_us,execution_us,total_us
E2E-1,MP3-BFT+++LEAP,100,202301,4800,775,1842,20642,23727
E2E-1,Tusk+Serial,100,23762376,4800,96,0,0,202
E2E-1,Tusk+Block-STM,100,250117,4800,213,1815,16838,19191
E2E-1,MP3-BFT+++LEAP,200,148826,9600,791,3834,59414,64505
E2E-1,Tusk+Serial,200,40851064,9600,97,0,0,235
E2E-1,Tusk+Block-STM,200,289340,9600,217,3825,28829,33179
E2E-1,MP3-BFT+++LEAP,500,420588,24000,763,10389,45359,57063
E2E-1,Tusk+Serial,500,79207921,24000,96,0,46,303
E2E-1,Tusk+Block-STM,500,497214,24000,219,10632,36997,48269
E2E-1,MP3-BFT+++LEAP,1000,445757,48000,789,22084,84137,107682
E2E-1,Tusk+Serial,1000,108843537,48000,96,0,52,441
E2E-1,Tusk+Block-STM,1000,430601,48000,243,21217,89461,111472
E2E-1,MP3-BFT+++LEAP,2000,463614,96000,798,46344,159016,207069
E2E-1,Tusk+Serial,2000,139737991,96000,96,0,149,687
E2E-1,Tusk+Block-STM,2000,432004,96000,275,48908,172263,222220
E2E-1,MP3-BFT+++LEAP,5000,418615,240000,970,126800,444075,573319
E2E-1,Tusk+Serial,5000,130293160,240000,130,0,708,1842
E2E-1,Tusk+Block-STM,5000,464529,240000,342,121657,393300,516652
E2E-2,MP3-BFT+++LEAP,Uniform,439621,48000,741,20976,86824,109185
E2E-2,Tusk+Serial,Uniform,114014252,48000,96,0,56,421
E2E-2,MP3-BFT+++LEAP,Zipf_0.8,454111,48000,740,22708,81622,105701
E2E-2,Tusk+Serial,Zipf_0.8,107865169,48000,96,0,54,445
E2E-2,MP3-BFT+++LEAP,Zipf_1.2,461889,48000,773,23186,79272,103921
E2E-2,Tusk+Serial,Zipf_1.2,110599078,48000,96,0,54,434
E2E-2,MP3-BFT+++LEAP,Hotspot_50pct,430984,48000,763,21775,88166,111373
E2E-2,Tusk+Serial,Hotspot_50pct,107142857,48000,96,0,53,448
E2E-3,MP3-BFT+++LEAP,4,452595,48000,794,21288,83303,106055
E2E-3,Tusk+Serial,4,120603015,48000,96,0,52,398
E2E-3,MP3-BFT+++LEAP,10,445918,48000,1419,22188,83319,107643
E2E-3,Tusk+Serial,10,91603053,48000,194,0,66,524
E2E-3,MP3-BFT+++LEAP,20,374915,48000,2678,22570,101946,128029
E2E-3,Tusk+Serial,20,59479554,48000,409,0,62,807
