experiment,system,variable,nodes,workers,rate,run,stablecoin_tps,stablecoin_latency_ms,success_rate,total_txns,successful_txns,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
Exp-D,MP3+LEAP,Hotspot_50pct@50K,4,1,50000,1,39524.0,737.0,1.0,2372634.0,2372634.0,39700.0,20326148.0,548.0,39584.0,20266841.0,694.0,39664.0,20308150.0,590.0,60.0
Exp-D,MP3+LEAP,Hotspot_50pct@50K,4,1,50000,2,41520.0,744.0,1.0,2489797.0,2489797.0,41696.0,21348472.0,556.0,41577.0,21287549.0,700.0,41665.0,21332406.0,600.0,60.0
Exp-D,MP3+LEAP,Hotspot_50pct@100K,4,1,100000,1,89846.0,857.0,1.0,5392801.0,5392801.0,90874.0,46527617.0,559.0,90609.0,46391681.0,694.0,90195.0,46179691.0,723.0,60.0
Exp-D,MP3+LEAP,Hotspot_50pct@100K,4,1,100000,2,85632.0,847.0,1.0,5133811.0,5133811.0,86449.0,44261769.0,571.0,86198.0,44133491.0,709.0,85952.0,44007461.0,708.0,60.0
Exp-D,MP3+LEAP,Hotspot_50pct@150K,4,1,150000,1,85030.0,9698.0,1.0,5100202.0,5100202.0,135892.0,69576537.0,564.0,135502.0,69377211.0,695.0,85904.0,43983042.0,9588.0,60.0
Exp-D,MP3+LEAP,Hotspot_50pct@150K,4,1,150000,2,86751.0,8831.0,1.0,5202000.0,5202000.0,136141.0,69704136.0,530.0,135755.0,69506793.0,660.0,88256.0,45186819.0,8706.0,60.0
Exp-D,MP3+LEAP,Hotspot_50pct@200K,4,1,200000,1,69824.0,18029.0,1.0,4183654.0,4183654.0,180833.0,92586703.0,552.0,180312.0,92319851.0,687.0,70772.0,36235175.0,17915.0,60.0
Exp-D,MP3+LEAP,Hotspot_50pct@200K,4,1,200000,2,69601.0,16625.0,1.0,4172181.0,4172181.0,181721.0,93041388.0,549.0,181194.0,92771311.0,685.0,70288.0,35987347.0,16508.0,60.0
Exp-D,MP3+LEAP,Hotspot_90pct@50K,4,1,50000,1,40545.0,738.0,1.0,2434632.0,2434632.0,40788.0,20883406.0,548.0,40671.0,20823571.0,693.0,40695.0,20835705.0,593.0,60.0
Exp-D,MP3+LEAP,Hotspot_90pct@50K,4,1,50000,2,44198.0,887.0,1.0,2653828.0,2653828.0,44384.0,22724543.0,690.0,44281.0,22671909.0,835.0,44328.0,22696083.0,742.0,60.0
