experiment,system,variable,nodes,workers,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
E2E-4,MP3+LEAP,150000,4,1,150000,1,137042.0,70165459.0,564.0,136647.0,69963105.0,705.0,96382.0,49347836.0,7226.0,60.0
E2E-4,MP3+LEAP,200000,4,1,200000,1,172979.0,88565302.0,570.0,172486.0,88312668.0,752.0,80030.0,40975216.0,15781.0,60.0
E2E-4,MP3+LEAP,250000,4,1,250000,1,167690.0,85857389.0,691.0,167145.0,85578135.0,1067.0,68109.0,34871692.0,19269.0,52.0
E2E-4,Tusk+LeapBase,150000,4,1,150000,1,138256.0,70787306.0,812.0,137858.0,70583051.0,949.0,101253.0,51841337.0,6611.0,60.0
E2E-4,Tusk+LeapBase,200000,4,1,200000,1,172094.0,88111928.0,879.0,171589.0,87853778.0,1035.0,89452.0,45799227.0,13862.0,60.0
E2E-4,Tusk+LeapBase,250000,4,1,250000,1,190789.0,97683912.0,836.0,190097.0,97329475.0,1251.0,79387.0,40646367.0,17235.0,48.0
E2E-5,MP3+LEAP,Hotspot_50pct@50K,4,1,50000,1,40887.0,20934005.0,556.0,40768.0,20873256.0,700.0,40845.0,20912668.0,596.0,60.0
E2E-5,MP3+LEAP,Hotspot_50pct@100K,4,1,100000,1,89172.0,45656163.0,560.0,88915.0,45524268.0,699.0,87370.0,44733441.0,800.0,60.0
E2E-5,MP3+LEAP,Hotspot_50pct@150K,4,1,150000,1,139868.0,71612489.0,519.0,139472.0,71409459.0,657.0,71360.0,36536473.0,13091.0,60.0
E2E-5,MP3+LEAP,Hotspot_50pct@200K,4,1,200000,1,169267.0,86664796.0,552.0,168760.0,86404999.0,730.0,54172.0,27736192.0,19094.0,60.0
E2E-5,MP3+LEAP,Hotspot_90pct@50K,4,1,50000,1,47094.0,24112214.0,545.0,46959.0,24043143.0,690.0,46963.0,24044966.0,596.0,60.0
E2E-5,MP3+LEAP,Hotspot_90pct@100K,4,1,100000,1,87964.0,45037614.0,581.0,87712.0,44908659.0,721.0,72022.0,36875139.0,4298.0,60.0
E2E-5,MP3+LEAP,Hotspot_90pct@150K,4,1,150000,1,141375.0,72383864.0,508.0,140967.0,72175359.0,652.0,48940.0,25057230.0,17038.0,60.0
E2E-5,MP3+LEAP,Hotspot_90pct@200K,4,1,200000,1,162387.0,83142039.0,666.0,161897.0,82891170.0,846.0,36294.0,18582283.0,21790.0,57.0
E2E-5,Tusk+LeapBase,Hotspot_50pct@50K,4,1,50000,1,44279.0,22670862.0,817.0,44138.0,22598812.0,963.0,44103.0,22580870.0,952.0,54.0
E2E-5,Tusk+LeapBase,Hotspot_50pct@100K,4,1,100000,1,90526.0,46349368.0,790.0,90261.0,46213664.0,930.0,74380.0,38082605.0,4432.0,60.0
E2E-5,Tusk+LeapBase,Hotspot_50pct@150K,4,1,150000,1,135848.0,69554413.0,791.0,135458.0,69354416.0,930.0,56845.0,29104854.0,15311.0,59.0
E2E-5,Tusk+LeapBase,Hotspot_50pct@200K,4,1,200000,1,171292.0,87701657.0,966.0,170790.0,87444258.0,1147.0,48108.0,24631189.0,20995.0,59.0
E2E-5,Tusk+LeapBase,Hotspot_90pct@50K,4,1,50000,1,44772.0,22923097.0,939.0,44640.0,22855796.0,1088.0,44574.0,22821780.0,1282.0,60.0
E2E-5,Tusk+LeapBase,Hotspot_90pct@100K,4,1,100000,1,92538.0,47379335.0,806.0,92270.0,47242010.0,948.0,54545.0,27927257.0,10735.0,60.0
E2E-5,Tusk+LeapBase,Hotspot_90pct@150K,4,1,150000,1,139526.0,71437184.0,764.0,139122.0,71230210.0,900.0,40772.0,20875140.0,18789.0,60.0
E2E-5,Tusk+LeapBase,Hotspot_90pct@200K,4,1,200000,1,177713.0,90989202.0,844.0,177144.0,90697527.0,1020.0,30883.0,15811944.0,25435.0,54.0
