experiment,system,variable,nodes,workers,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
E2E-1,MP3+LEAP,10000,4,1,10000,1,8362.0,4281598.0,565.0,8310.0,4254800.0,782.0,8360.0,4280160.0,581.0,60.0
E2E-1,MP3+LEAP,10000,4,1,10000,2,8811.0,4511420.0,536.0,8757.0,4483640.0,756.0,8808.0,4509906.0,551.0,60.0
E2E-1,MP3+LEAP,10000,4,1,10000,3,8271.0,4234994.0,561.0,8220.0,4208423.0,778.0,8269.0,4233572.0,576.0,60.0
E2E-1,MP3+LEAP,30000,4,1,30000,1,27403.0,14030367.0,573.0,27324.0,13989888.0,745.0,27386.0,14021690.0,598.0,60.0
E2E-1,MP3+LEAP,30000,4,1,30000,2,27408.0,14032714.0,664.0,27329.0,13992455.0,835.0,27399.0,14028490.0,691.0,60.0
E2E-1,MP3+LEAP,30000,4,1,30000,3,28147.0,14411261.0,526.0,28066.0,14369886.0,698.0,28132.0,14403545.0,549.0,60.0
E2E-1,MP3+LEAP,50000,4,1,50000,1,39937.0,20447832.0,556.0,39825.0,20390267.0,700.0,39848.0,20401961.0,591.0,60.0
E2E-1,MP3+LEAP,50000,4,1,50000,2,45614.0,23354386.0,635.0,45484.0,23287771.0,780.0,45577.0,23335259.0,676.0,60.0
E2E-1,MP3+LEAP,50000,4,1,50000,3,45448.0,23269151.0,595.0,45317.0,23202397.0,742.0,45397.0,23243491.0,634.0,60.0
E2E-1,MP3+LEAP,70000,4,1,70000,1,63449.0,32486095.0,590.0,63264.0,32391363.0,723.0,63312.0,32415658.0,646.0,60.0
E2E-1,MP3+LEAP,70000,4,1,70000,2,64577.0,33063525.0,547.0,64392.0,32968588.0,681.0,64463.0,33004953.0,601.0,60.0
E2E-1,MP3+LEAP,70000,4,1,70000,3,58812.0,30111528.0,583.0,58641.0,30024270.0,715.0,58699.0,30053902.0,639.0,60.0
E2E-1,MP3+LEAP,100000,4,1,100000,1,87557.0,44829110.0,534.0,87303.0,44699166.0,673.0,87011.0,44549594.0,643.0,60.0
E2E-1,MP3+LEAP,100000,4,1,100000,2,89641.0,45896288.0,548.0,89381.0,45762871.0,685.0,89320.0,45731735.0,655.0,60.0
E2E-1,MP3+LEAP,100000,4,1,100000,3,89750.0,45952238.0,594.0,89532.0,45840214.0,730.0,89197.0,45668623.0,702.0,60.0
E2E-1,Tusk+LeapBase,10000,4,1,10000,1,8288.0,4243442.0,901.0,8236.0,4216670.0,1121.0,8282.0,4240593.0,942.0,60.0
E2E-1,Tusk+LeapBase,10000,4,1,10000,2,8221.0,4209156.0,1157.0,8169.0,4182658.0,1377.0,8209.0,4203065.0,1227.0,60.0
