engine,scenario,accounts,threads,run,tps
Serial,Uniform,2,1,0,4989
Serial,Uniform,2,1,1,4992
Serial,Uniform,2,1,2,4992
LEAP-base,Uniform,2,4,0,9424
LEAP-concat,Uniform,2,4,0,9480
LEAP-interleave,Uniform,2,4,0,9421
LEAP-base,Uniform,2,4,1,9447
LEAP-concat,Uniform,2,4,1,9500
LEAP-interleave,Uniform,2,4,1,9527
LEAP-base,Uniform,2,4,2,9414
LEAP-concat,Uniform,2,4,2,9337
LEAP-interleave,Uniform,2,4,2,9463
LEAP-base,Uniform,2,8,0,12080
LEAP-concat,Uniform,2,8,0,11166
LEAP-interleave,Uniform,2,8,0,11308
LEAP-base,Uniform,2,8,1,11660
LEAP-concat,Uniform,2,8,1,11464
LEAP-interleave,Uniform,2,8,1,11274
LEAP-base,Uniform,2,8,2,11609
LEAP-concat,Uniform,2,8,2,11505
LEAP-interleave,Uniform,2,8,2,10842
LEAP-base,Uniform,2,16,0,4768
LEAP-concat,Uniform,2,16,0,4790
LEAP-interleave,Uniform,2,16,0,4782
LEAP-base,Uniform,2,16,1,4853
LEAP-concat,Uniform,2,16,1,4743
LEAP-interleave,Uniform,2,16,1,4768
LEAP-base,Uniform,2,16,2,4841
LEAP-concat,Uniform,2,16,2,4815
LEAP-interleave,Uniform,2,16,2,4790
Serial,Uniform,10,1,0,4993
Serial,Uniform,10,1,1,4992
Serial,Uniform,10,1,2,4994
LEAP-base,Uniform,10,4,0,18040
LEAP-concat,Uniform,10,4,0,17948
LEAP-interleave,Uniform,10,4,0,18160
LEAP-base,Uniform,10,4,1,17455
LEAP-concat,Uniform,10,4,1,17692
LEAP-interleave,Uniform,10,4,1,17796
LEAP-base,Uniform,10,4,2,17937
LEAP-concat,Uniform,10,4,2,17507
LEAP-interleave,Uniform,10,4,2,17584
LEAP-base,Uniform,10,8,0,12292
LEAP-concat,Uniform,10,8,0,12068
LEAP-interleave,Uniform,10,8,0,12131
LEAP-base,Uniform,10,8,1,12133
LEAP-concat,Uniform,10,8,1,11853
LEAP-interleave,Uniform,10,8,1,12030
LEAP-base,Uniform,10,8,2,12228
LEAP-concat,Uniform,10,8,2,12381
LEAP-interleave,Uniform,10,8,2,12313
LEAP-base,Uniform,10,16,0,10451
LEAP-concat,Uniform,10,16,0,10237
LEAP-interleave,Uniform,10,16,0,10392
LEAP-base,Uniform,10,16,1,10230
LEAP-concat,Uniform,10,16,1,10337
LEAP-interleave,Uniform,10,16,1,10309
LEAP-base,Uniform,10,16,2,10338
LEAP-concat,Uniform,10,16,2,10043
LEAP-interleave,Uniform,10,16,2,10398
Serial,Uniform,100,1,0,4991
Serial,Uniform,100,1,1,4991
Serial,Uniform,100,1,2,4989
LEAP-base,Uniform,100,4,0,19097
LEAP-concat,Uniform,100,4,0,19020
LEAP-interleave,Uniform,100,4,0,19107
LEAP-base,Uniform,100,4,1,19093
LEAP-concat,Uniform,100,4,1,19134
LEAP-interleave,Uniform,100,4,1,19121
LEAP-base,Uniform,100,4,2,19087
LEAP-concat,Uniform,100,4,2,19142
LEAP-interleave,Uniform,100,4,2,19095
LEAP-base,Uniform,100,8,0,37073
LEAP-concat,Uniform,100,8,0,36371
LEAP-interleave,Uniform,100,8,0,36874
LEAP-base,Uniform,100,8,1,36330
LEAP-concat,Uniform,100,8,1,36620
LEAP-interleave,Uniform,100,8,1,36883
LEAP-base,Uniform,100,8,2,36835
LEAP-concat,Uniform,100,8,2,37104
LEAP-interleave,Uniform,100,8,2,36908
LEAP-base,Uniform,100,16,0,54912
LEAP-concat,Uniform,100,16,0,55870
LEAP-interleave,Uniform,100,16,0,55890
LEAP-base,Uniform,100,16,1,54718
LEAP-concat,Uniform,100,16,1,55070
LEAP-interleave,Uniform,100,16,1,55885
LEAP-base,Uniform,100,16,2,54278
LEAP-concat,Uniform,100,16,2,53393
LEAP-interleave,Uniform,100,16,2,57057
Serial,Uniform,1000,1,0,4993
Serial,Uniform,1000,1,1,4994
Serial,Uniform,1000,1,2,4993
LEAP-base,Uniform,1000,4,0,19144
LEAP-concat,Uniform,1000,4,0,19076
LEAP-interleave,Uniform,1000,4,0,19000
LEAP-base,Uniform,1000,4,1,19074
LEAP-concat,Uniform,1000,4,1,19140
LEAP-interleave,Uniform,1000,4,1,19147
LEAP-base,Uniform,1000,4,2,19111
LEAP-concat,Uniform,1000,4,2,19024
LEAP-interleave,Uniform,1000,4,2,18965
LEAP-base,Uniform,1000,8,0,37262
LEAP-concat,Uniform,1000,8,0,37296
LEAP-interleave,Uniform,1000,8,0,36862
LEAP-base,Uniform,1000,8,1,36875
LEAP-concat,Uniform,1000,8,1,37709
LEAP-interleave,Uniform,1000,8,1,36351
LEAP-base,Uniform,1000,8,2,36554
LEAP-concat,Uniform,1000,8,2,36506
LEAP-interleave,Uniform,1000,8,2,37353
LEAP-base,Uniform,1000,16,0,61882
LEAP-concat,Uniform,1000,16,0,62847
LEAP-interleave,Uniform,1000,16,0,62612
LEAP-base,Uniform,1000,16,1,62134
LEAP-concat,Uniform,1000,16,1,63206
LEAP-interleave,Uniform,1000,16,1,62035
LEAP-base,Uniform,1000,16,2,62716
LEAP-concat,Uniform,1000,16,2,62464
LEAP-interleave,Uniform,1000,16,2,61329
Serial,Uniform,10000,1,0,4996
Serial,Uniform,10000,1,1,4994
Serial,Uniform,10000,1,2,4993
LEAP-base,Uniform,10000,4,0,18983
LEAP-concat,Uniform,10000,4,0,18776
LEAP-interleave,Uniform,10000,4,0,19099
LEAP-base,Uniform,10000,4,1,19023
LEAP-concat,Uniform,10000,4,1,18942
LEAP-interleave,Uniform,10000,4,1,19081
LEAP-base,Uniform,10000,4,2,19055
LEAP-concat,Uniform,10000,4,2,18847
LEAP-interleave,Uniform,10000,4,2,19132
LEAP-base,Uniform,10000,8,0,36681
LEAP-concat,Uniform,10000,8,0,36877
LEAP-interleave,Uniform,10000,8,0,36900
LEAP-base,Uniform,10000,8,1,37148
LEAP-concat,Uniform,10000,8,1,36549
LEAP-interleave,Uniform,10000,8,1,37066
LEAP-base,Uniform,10000,8,2,35830
LEAP-concat,Uniform,10000,8,2,37556
LEAP-interleave,Uniform,10000,8,2,36601
LEAP-base,Uniform,10000,16,0,62527
LEAP-concat,Uniform,10000,16,0,62983
LEAP-interleave,Uniform,10000,16,0,62951
LEAP-base,Uniform,10000,16,1,63583
LEAP-concat,Uniform,10000,16,1,62578
LEAP-interleave,Uniform,10000,16,1,62011
LEAP-base,Uniform,10000,16,2,60298
LEAP-concat,Uniform,10000,16,2,62499
LEAP-interleave,Uniform,10000,16,2,61804
Serial,Hotspot10,2,1,0,4994
Serial,Hotspot10,2,1,1,4993
Serial,Hotspot10,2,1,2,4992
LEAP-base,Hotspot10,2,4,0,9405
LEAP-concat,Hotspot10,2,4,0,9317
LEAP-interleave,Hotspot10,2,4,0,9461
LEAP-base,Hotspot10,2,4,1,9453
LEAP-concat,Hotspot10,2,4,1,9509
LEAP-interleave,Hotspot10,2,4,1,9460
LEAP-base,Hotspot10,2,4,2,9447
LEAP-concat,Hotspot10,2,4,2,9504
LEAP-interleave,Hotspot10,2,4,2,9431
LEAP-base,Hotspot10,2,8,0,11277
LEAP-concat,Hotspot10,2,8,0,12673
LEAP-interleave,Hotspot10,2,8,0,11877
LEAP-base,Hotspot10,2,8,1,11942
LEAP-concat,Hotspot10,2,8,1,11943
LEAP-interleave,Hotspot10,2,8,1,11547
LEAP-base,Hotspot10,2,8,2,11572
LEAP-concat,Hotspot10,2,8,2,11994
LEAP-interleave,Hotspot10,2,8,2,12298
LEAP-base,Hotspot10,2,16,0,4852
LEAP-concat,Hotspot10,2,16,0,4785
LEAP-interleave,Hotspot10,2,16,0,4898
LEAP-base,Hotspot10,2,16,1,4828
LEAP-concat,Hotspot10,2,16,1,4816
LEAP-interleave,Hotspot10,2,16,1,4801
LEAP-base,Hotspot10,2,16,2,4795
LEAP-concat,Hotspot10,2,16,2,4756
LEAP-interleave,Hotspot10,2,16,2,4840
Serial,Hotspot10,10,1,0,4992
Serial,Hotspot10,10,1,1,4993
Serial,Hotspot10,10,1,2,4991
LEAP-base,Hotspot10,10,4,0,17931
LEAP-concat,Hotspot10,10,4,0,17112
LEAP-interleave,Hotspot10,10,4,0,17329
LEAP-base,Hotspot10,10,4,1,17818
LEAP-concat,Hotspot10,10,4,1,17803
LEAP-interleave,Hotspot10,10,4,1,17789
LEAP-base,Hotspot10,10,4,2,17635
LEAP-concat,Hotspot10,10,4,2,18169
LEAP-interleave,Hotspot10,10,4,2,17451
LEAP-base,Hotspot10,10,8,0,11962
LEAP-concat,Hotspot10,10,8,0,11962
LEAP-interleave,Hotspot10,10,8,0,12005
LEAP-base,Hotspot10,10,8,1,12522
LEAP-concat,Hotspot10,10,8,1,12305
LEAP-interleave,Hotspot10,10,8,1,12178
LEAP-base,Hotspot10,10,8,2,12051
LEAP-concat,Hotspot10,10,8,2,12140
LEAP-interleave,Hotspot10,10,8,2,12103
LEAP-base,Hotspot10,10,16,0,10107
LEAP-concat,Hotspot10,10,16,0,10237
LEAP-interleave,Hotspot10,10,16,0,10103
LEAP-base,Hotspot10,10,16,1,10455
LEAP-concat,Hotspot10,10,16,1,10651
LEAP-interleave,Hotspot10,10,16,1,10301
LEAP-base,Hotspot10,10,16,2,10213
LEAP-concat,Hotspot10,10,16,2,10053
LEAP-interleave,Hotspot10,10,16,2,10252
Serial,Hotspot10,100,1,0,4990
Serial,Hotspot10,100,1,1,4992
Serial,Hotspot10,100,1,2,4992
LEAP-base,Hotspot10,100,4,0,19113
LEAP-concat,Hotspot10,100,4,0,19139
LEAP-interleave,Hotspot10,100,4,0,18991
LEAP-base,Hotspot10,100,4,1,19011
LEAP-concat,Hotspot10,100,4,1,19134
LEAP-interleave,Hotspot10,100,4,1,19094
LEAP-base,Hotspot10,100,4,2,19024
LEAP-concat,Hotspot10,100,4,2,19114
LEAP-interleave,Hotspot10,100,4,2,19013
LEAP-base,Hotspot10,100,8,0,37021
LEAP-concat,Hotspot10,100,8,0,36056
LEAP-interleave,Hotspot10,100,8,0,35639
LEAP-base,Hotspot10,100,8,1,36579
LEAP-concat,Hotspot10,100,8,1,35859
LEAP-interleave,Hotspot10,100,8,1,36133
LEAP-base,Hotspot10,100,8,2,35819
LEAP-concat,Hotspot10,100,8,2,35975
LEAP-interleave,Hotspot10,100,8,2,35272
LEAP-base,Hotspot10,100,16,0,42690
LEAP-concat,Hotspot10,100,16,0,44570
LEAP-interleave,Hotspot10,100,16,0,43025
LEAP-base,Hotspot10,100,16,1,43595
LEAP-concat,Hotspot10,100,16,1,43666
LEAP-interleave,Hotspot10,100,16,1,44928
LEAP-base,Hotspot10,100,16,2,45514
LEAP-concat,Hotspot10,100,16,2,44071
LEAP-interleave,Hotspot10,100,16,2,44245
Serial,Hotspot10,1000,1,0,4996
Serial,Hotspot10,1000,1,1,4994
Serial,Hotspot10,1000,1,2,4993
LEAP-base,Hotspot10,1000,4,0,19147
LEAP-concat,Hotspot10,1000,4,0,19062
LEAP-interleave,Hotspot10,1000,4,0,19082
LEAP-base,Hotspot10,1000,4,1,19078
LEAP-concat,Hotspot10,1000,4,1,19105
LEAP-interleave,Hotspot10,1000,4,1,19149
LEAP-base,Hotspot10,1000,4,2,19100
LEAP-concat,Hotspot10,1000,4,2,19109
LEAP-interleave,Hotspot10,1000,4,2,19121
LEAP-base,Hotspot10,1000,8,0,37071
LEAP-concat,Hotspot10,1000,8,0,37056
LEAP-interleave,Hotspot10,1000,8,0,37228
LEAP-base,Hotspot10,1000,8,1,37112
LEAP-concat,Hotspot10,1000,8,1,36582
LEAP-interleave,Hotspot10,1000,8,1,36952
LEAP-base,Hotspot10,1000,8,2,36965
LEAP-concat,Hotspot10,1000,8,2,37197
LEAP-interleave,Hotspot10,1000,8,2,36619
LEAP-base,Hotspot10,1000,16,0,57868
LEAP-concat,Hotspot10,1000,16,0,59362
LEAP-interleave,Hotspot10,1000,16,0,51852
LEAP-base,Hotspot10,1000,16,1,59168
LEAP-concat,Hotspot10,1000,16,1,53958
LEAP-interleave,Hotspot10,1000,16,1,54952
LEAP-base,Hotspot10,1000,16,2,56051
LEAP-concat,Hotspot10,1000,16,2,57855
LEAP-interleave,Hotspot10,1000,16,2,52454
Serial,Hotspot10,10000,1,0,4993
Serial,Hotspot10,10000,1,1,4995
Serial,Hotspot10,10000,1,2,4994
LEAP-base,Hotspot10,10000,4,0,18982
LEAP-concat,Hotspot10,10000,4,0,18626
LEAP-interleave,Hotspot10,10000,4,0,19075
LEAP-base,Hotspot10,10000,4,1,19012
LEAP-concat,Hotspot10,10000,4,1,18961
LEAP-interleave,Hotspot10,10000,4,1,18950
LEAP-base,Hotspot10,10000,4,2,19025
LEAP-concat,Hotspot10,10000,4,2,18839
LEAP-interleave,Hotspot10,10000,4,2,19115
LEAP-base,Hotspot10,10000,8,0,37482
LEAP-concat,Hotspot10,10000,8,0,34659
LEAP-interleave,Hotspot10,10000,8,0,36695
LEAP-base,Hotspot10,10000,8,1,36913
LEAP-concat,Hotspot10,10000,8,1,35433
LEAP-interleave,Hotspot10,10000,8,1,36254
LEAP-base,Hotspot10,10000,8,2,36910
LEAP-concat,Hotspot10,10000,8,2,35960
LEAP-interleave,Hotspot10,10000,8,2,36923
LEAP-base,Hotspot10,10000,16,0,55466
LEAP-concat,Hotspot10,10000,16,0,55619
LEAP-interleave,Hotspot10,10000,16,0,59410
LEAP-base,Hotspot10,10000,16,1,56906
LEAP-concat,Hotspot10,10000,16,1,55675
LEAP-interleave,Hotspot10,10000,16,1,57393
LEAP-base,Hotspot10,10000,16,2,56420
LEAP-concat,Hotspot10,10000,16,2,55426
LEAP-interleave,Hotspot10,10000,16,2,59793
Serial,Hotspot30,2,1,0,4994
Serial,Hotspot30,2,1,1,4994
Serial,Hotspot30,2,1,2,4993
LEAP-base,Hotspot30,2,4,0,9436
LEAP-concat,Hotspot30,2,4,0,9354
LEAP-interleave,Hotspot30,2,4,0,9431
LEAP-base,Hotspot30,2,4,1,9437
LEAP-concat,Hotspot30,2,4,1,9385
LEAP-interleave,Hotspot30,2,4,1,9423
LEAP-base,Hotspot30,2,4,2,9424
LEAP-concat,Hotspot30,2,4,2,9372
LEAP-interleave,Hotspot30,2,4,2,9445
LEAP-base,Hotspot30,2,8,0,11816
LEAP-concat,Hotspot30,2,8,0,12310
LEAP-interleave,Hotspot30,2,8,0,11662
LEAP-base,Hotspot30,2,8,1,12655
LEAP-concat,Hotspot30,2,8,1,11923
LEAP-interleave,Hotspot30,2,8,1,11523
LEAP-base,Hotspot30,2,8,2,13052
LEAP-concat,Hotspot30,2,8,2,12602
LEAP-interleave,Hotspot30,2,8,2,12158
LEAP-base,Hotspot30,2,16,0,4850
LEAP-concat,Hotspot30,2,16,0,4792
LEAP-interleave,Hotspot30,2,16,0,4845
LEAP-base,Hotspot30,2,16,1,4793
LEAP-concat,Hotspot30,2,16,1,4841
LEAP-interleave,Hotspot30,2,16,1,4837
LEAP-base,Hotspot30,2,16,2,4829
LEAP-concat,Hotspot30,2,16,2,4856
LEAP-interleave,Hotspot30,2,16,2,4803
Serial,Hotspot30,10,1,0,4995
Serial,Hotspot30,10,1,1,4993
Serial,Hotspot30,10,1,2,4996
LEAP-base,Hotspot30,10,4,0,16390
LEAP-concat,Hotspot30,10,4,0,16973
LEAP-interleave,Hotspot30,10,4,0,17034
LEAP-base,Hotspot30,10,4,1,17429
LEAP-concat,Hotspot30,10,4,1,16710
LEAP-interleave,Hotspot30,10,4,1,16427
LEAP-base,Hotspot30,10,4,2,17097
LEAP-concat,Hotspot30,10,4,2,16890
LEAP-interleave,Hotspot30,10,4,2,16858
LEAP-base,Hotspot30,10,8,0,11452
LEAP-concat,Hotspot30,10,8,0,11416
LEAP-interleave,Hotspot30,10,8,0,11427
LEAP-base,Hotspot30,10,8,1,11528
LEAP-concat,Hotspot30,10,8,1,11305
LEAP-interleave,Hotspot30,10,8,1,11541
LEAP-base,Hotspot30,10,8,2,11302
LEAP-concat,Hotspot30,10,8,2,11337
LEAP-interleave,Hotspot30,10,8,2,11225
LEAP-base,Hotspot30,10,16,0,9582
LEAP-concat,Hotspot30,10,16,0,9482
LEAP-interleave,Hotspot30,10,16,0,9519
LEAP-base,Hotspot30,10,16,1,9595
LEAP-concat,Hotspot30,10,16,1,9569
LEAP-interleave,Hotspot30,10,16,1,9484
LEAP-base,Hotspot30,10,16,2,9584
LEAP-concat,Hotspot30,10,16,2,9372
LEAP-interleave,Hotspot30,10,16,2,9243
Serial,Hotspot30,100,1,0,4993
Serial,Hotspot30,100,1,1,4991
Serial,Hotspot30,100,1,2,4991
LEAP-base,Hotspot30,100,4,0,19034
LEAP-concat,Hotspot30,100,4,0,18907
LEAP-interleave,Hotspot30,100,4,0,18755
LEAP-base,Hotspot30,100,4,1,18753
LEAP-concat,Hotspot30,100,4,1,19066
LEAP-interleave,Hotspot30,100,4,1,18977
LEAP-base,Hotspot30,100,4,2,18998
LEAP-concat,Hotspot30,100,4,2,18798
LEAP-interleave,Hotspot30,100,4,2,19052
LEAP-base,Hotspot30,100,8,0,27571
LEAP-concat,Hotspot30,100,8,0,28932
LEAP-interleave,Hotspot30,100,8,0,30448
LEAP-base,Hotspot30,100,8,1,30382
LEAP-concat,Hotspot30,100,8,1,28365
LEAP-interleave,Hotspot30,100,8,1,28192
LEAP-base,Hotspot30,100,8,2,28535
LEAP-concat,Hotspot30,100,8,2,32012
LEAP-interleave,Hotspot30,100,8,2,28090
LEAP-base,Hotspot30,100,16,0,19997
LEAP-concat,Hotspot30,100,16,0,20199
LEAP-interleave,Hotspot30,100,16,0,19234
LEAP-base,Hotspot30,100,16,1,20389
LEAP-concat,Hotspot30,100,16,1,19703
